@id,@lat,@lon,name,historic,tourism
2545342051,40.9765203,20.9119981,Преспанско Советување,monument,
2598104053,41.3475544,21.5564074,Карпалак,monument,
2616082758,42.1491368,21.7853235,Zebrnjak,memorial,
2759245083,41.1126936,20.7995376,Свети Климент Охридски,monument,artwork
2759253188,41.1120476,20.799994,Свети Кирил и Методиј,monument,artwork
2759263738,41.1122955,20.7990226,Свети Наум Охридски Чудотворец,monument,artwork
2795154377,41.1124606,20.7977703,Долна Порта,city_gate,
2829462221,42.0853984,21.9627449,Мачка камен,archaeological_site,
2851570672,41.4182291,21.0770931,Христо Узунов,monument,
3011061690,41.0596796,20.8135106,Sv. Nikola,wayside_shrine,attraction
3039854149,41.9062629,20.9636151,Споменик на жртви од НОВ,monument,
3409068903,41.3460556,21.5524989,Александар Македонски,monument,
3409068904,41.3462544,21.5528281,Методија Андонов-Ченто,monument,
3409074126,41.3462194,21.553243,Св. Никола,monument,
3418320912,41.822914,21.7360635,Масакр кај Пуста Кула,memorial,
3456913802,41.3434323,21.5479723,Карпалак 2001,monument,
3457966074,41.3341123,21.554646,Крипта,monument,
3642663981,41.345456,21.5548417,Итар Пејо,monument,
3694881124,41.975162,22.8187714,Dedo Jakim - Mill,monument,
3694922580,41.9769054,22.8193451,Ilin Kamen,monument,
3695208787,41.9668611,22.7768724,Гоце Делчев (Биста),monument,
3695208788,41.9643843,22.7742882,Гоце Делчев,monument,
3695770497,41.9653801,22.7716387,Споменик на паднати борци во НОБ,monument,
3696656682,41.9425359,22.7954411,Кула,monument,
3713662739,41.9952169,21.426153,Josip Broz Tito,memorial,artwork
3951819342,41.9682709,21.4313461,Маркови Кули,ruins,
4078676807,41.139367,22.5093733,Леонид Јанков,monument,
4095417830,40.8536596,21.1211491,Г177,boundary_stone,
4095421689,40.8545802,21.1255774,Г176,boundary_stone,
4095429583,40.8554344,21.1306578,Г175-2,boundary_stone,
4095438268,40.854785,21.1326005,Г175-1,boundary_stone,
4128156209,41.9977079,21.4339766,Св. Кирил и Методиј,memorial,artwork
